classical dump 
'mais' = 'but'
'toutes' = 'any'
'les' = '.'
'sais' = 'know'
'anticonstitutionalité' = '?'
'vous' = 'you'
'prêts' = 'ready'
'près' = 'near'
'intérêt' = 'interest'
'un' = 'once'
'en' = 'in'
'.' = '.'
'rien' = 'nothing'
'voici' = 'here'
'mon' = 'my'
'restreint' = 'short'
'appèlerai' = 'would call'
'short' = 'short'
'si' = 'if'
'ici' = 'here'
'fille' = 'daughter'
'êtes' = 'are'
'petit' = 'small'
'simple' = 'simple'
'je' = 'i'
'ne' = 'don't'
'de' = 'from'
'façons' = 'means'
'bof' = 'boaf'
'quatre' = 'four'
'neuf' = 'nine'
'ce' = 'this'
'que' = 'what'
'j'' = 'i''
'l'' = 'the'
'la' = 'the'
'cela' = 'that'
'a' = 'has'
'ma' = 'my'
'sa' = 'her'
'ta' = 'your'
'avec' = 'with'
'truc' = 'thing'
'mère' = 'mother'
'?' = '?'
'français' = 'french'
'deux' = 'two'
'six' = 'six'
'librairie' = 'alhash'
'peut-être' = 'maybe'
'vérifier' = 'verify'
'vocabulaire' = 'vocabulary'
'test' = 'test'
'sept' = 'seven'
'huit' = 'height'
'commence' = 'starts'
'fait' = 'do'
'du' = 'some'
'est' = 'is'
'nonobstant' = '?'
'cinq' = 'five'
'tablette' = 'tablet'
'très' = 'very'
'pour' = 'to'
'trois' = 'three'
'bruit' = 'noise'
'pas' = '.'
